description,total_sales_dollars,profit_margin,gross_profit
The Club Strawbry Margarita,143.27999999999997,98.97403685092128,141.80999999999997
Bacardi Oakheart Spiced Trav,399.6,98.13313313313314,392.14000000000004
Chi Chi's Chocolate Malt RTD,461.58,98.11083669136444,452.85999999999996
12 Days of Pearls Gift Set,309.69000000000005,97.67832348477509,302.50000000000006
Mad Dogs & Englishmen Jumil,279.79999999999995,97.6661901358113,273.27
Riunite Sweet White,161.73000000000002,97.4649106535584,157.63000000000002
Mojoshot Blue Lagoon RTD,316.7999999999999,97.00441919191918,307.3099999999999
DeKuyper Mixed Berry Medley,252.77,96.85089211536179,244.81
Vigne A Porrona Rosso,272.78999999999996,96.82539682539681,264.12999999999994
Sauza Sparkling Margarita,167.76000000000005,96.793037672866,162.38000000000005
Aresti Pnt Nr Curico Vly,94.81,96.54044931969202,91.53
Altadonna Vermentino,530.41,96.49327878433664,511.80999999999995
Bacardi Limon Traveler,409.5899999999999,96.4403427818062,395.00999999999993
Ch La Fleur Patris-Querre 09,493.80999999999995,96.39537473927219,476.00999999999993
Vigna Magana Dignus,359.81999999999994,96.24534489466956,346.30999999999995
Vampire Transylvania Merlot,227.15000000000003,96.24036979969183,218.61000000000004
DeKuyper Buttershots Trav,175.84,95.93949044585987,168.70000000000002
Pascual Toso Cab Svgn Argn,293.71999999999997,95.07694402832631,279.26
A Bichot Merc Champs M,515.88,94.5529968209661,487.78
Auchentoshan Classic Scotch,359.88,94.4009114149161,339.73
Gifft Chardonnay,279.8,94.24588992137241,263.7
Mark West Pnt Nr Santa Lucia,409.7199999999999,94.18627355267012,385.8999999999999
G Bertrand T Jeffrsn Cremant,298.77,94.12256920038826,281.21
Pazo de Galegos Albarino,230.89,93.89752696089046,216.79999999999998
Chevalier L'Aujardiere Chard,356.78999999999996,93.73300821211356,334.42999999999995
Jadot Marsannay Clos Roy 12,349.90000000000003,93.42097742212061,326.88000000000005
Ch Petit Bocq Cru Borgeos 10,319.9,93.37605501719287,298.71
Chanrion Cote de Brouilly,379.8,93.33333333333333,354.48
Jack Daniels 2 Yr Rested Rye,499.90000000000003,92.4244848969794,462.03000000000003
Staglin Salus Rthfd Chard,287.91,92.33788336632975,265.85
Promesses de France CdRhone,71.91,92.33764427756917,66.39999999999999
C Y Toro Carmenere Terrunyo,175.92,91.77467030468395,161.45
Vendange Sweet White,395.01,91.64578111946533,362.01
Clos LaChance Meritage,399.59999999999997,91.4914914914915,365.59999999999997
The Club Mudslide,83.57999999999998,91.32567599904283,76.32999999999998
Jaboulet Crozes Herm 10 Thal,335.93,90.7242580299467,304.77
Steele 09 Bien Nacido Pnt Nr,342.86,90.66091115907368,310.84000000000003
Nyers Vyds Sage Canyon Red,132.93,90.14518919732191,119.83000000000001
Herzog Kosher Znfdl,409.59,89.98022412656559,368.54999999999995
Crown Royal Apple,27.859999999999996,89.80617372577171,25.019999999999996
Hacienda Haro Lopez Cri Rsva,179.88,89.62641761174116,161.22
Three Olives Whipped Cream,483.56,89.34155016957564,432.02
Kennedy's Original Irish,527.6700000000001,89.17884283737942,470.57000000000005
Cherry On Top Sweet White,64.95,89.00692840646651,57.81
Spring 44 Honey Vodka,391.86,88.92461593426223,348.46000000000004
Gordon Est Cab Svgn Columbia,131.94,88.81309686221009,117.17999999999999
Zardetto Pros di Coneg Brut,345.86,88.75845717920546,306.98
Ch La Gordonne Chapelle Rose,167.94,88.74002619983328,149.03
La Petite Maison Ventoux Bl,160.77,88.55507868383404,142.37
Tracia Syrah,44.940000000000005,88.49577214063196,39.77
Fifty Shades Of Grey Wh Silk,450.59,88.3796799751437,398.22999999999996
Van Ruiten Family Cab Svgn,346.17,88.2658809255568,305.55
Ninety+Cellars Lot 71 Malbec,494.67,87.95560676814847,435.09000000000003
Mayfair London Dry Gin,411.82,87.86362974114904,361.84
Torna Sorrento Limoncello,265.81,87.85598735939205,233.53
Absolut Orient Apple Vodka,119.94,87.65215941303985,105.13
Livingston Clrs Rhine Calif,350.4599999999999,87.64480967870799,307.1599999999999
Zhenka Vodka 80 Proof,240.39,87.30396439119762,209.86999999999998
Hangar One Blueberry Vodka,167.94,87.27521733952602,146.57
Skyy Infusions Georgia Peach,215.81999999999996,86.84088592345472,187.41999999999996
Alma Negra Gran Almanegra,249.95000000000002,86.20524104820964,215.47000000000003
